Node# 	:	 CS Access#	:	 #Messages 	:	 Time taken
1		:		36		:		18		:		0.20
3		:		36		:		10		:		0.08
9		:		35		:		12		:		0.03
7		:		35		:		14		:		0.04
5		:		36		:		14		:		0.12
1		:		37		:		14		:		0.10
3		:		37		:		12		:		0.07
9		:		36		:		12		:		0.04
7		:		36		:		12		:		0.04
1		:		38		:		10		:		0.11
5		:		37		:		12		:		0.12
3		:		38		:		12		:		0.15
9		:		37		:		10		:		0.01
1		:		39		:		6		:		0.04
7		:		37		:		18		:		0.07
5		:		38		:		18		:		0.24
3		:		39		:		18		:		0.22
9		:		38		:		18		:		0.09
1		:		40		:		18		:		0.21
7		:		38		:		10		:		0.04
5		:		39		:		12		:		0.13
3		:		40		:		12		:		0.12
9		:		39		:		16		:		0.06
7		:		39		:		14		:		0.06
5		:		40		:		12		:		0.14
9		:		40		:		8		:		0.03
7		:		40		:		8		:		0.02
