Node# 	:	 CS Access#	:	 #Messages 	:	 Time taken
6		:		35		:		8		:		0.00
0		:		36		:		8		:		0.00
2		:		36		:		8		:		0.00
4		:		36		:		8		:		0.02
8		:		35		:		8		:		0.00
6		:		36		:		8		:		0.00
0		:		37		:		8		:		0.01
2		:		37		:		8		:		0.00
4		:		37		:		8		:		0.00
8		:		36		:		8		:		0.00
0		:		38		:		6		:		0.00
6		:		37		:		8		:		0.00
2		:		38		:		8		:		0.00
4		:		38		:		8		:		0.00
6		:		38		:		4		:		0.00
8		:		37		:		8		:		0.01
0		:		39		:		8		:		0.02
2		:		39		:		8		:		0.00
4		:		39		:		8		:		0.00
8		:		38		:		6		:		0.00
6		:		39		:		8		:		0.00
0		:		40		:		8		:		0.03
2		:		40		:		8		:		0.00
4		:		40		:		8		:		0.00
6		:		40		:		6		:		0.00
8		:		39		:		8		:		0.01
8		:		40		:		0		:		0.00
